Alpha,2ndmidterm1st, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-108.0 m/s-VLM1-proj_area, , 
           -6,    -0.4239947, ,            -6,    -0.4974602, ,            -6,    -0.4608061, ,            -6,    -0.3870518, ,            -6,    -0.3499955, ,         -10.5,    -0.8351876, , 
         -5.5,     -0.377823, ,          -5.5,      -0.45144, ,          -5.5,    -0.4147049, ,          -5.5,    -0.3408201, ,          -5.5,    -0.3037143, ,           -10,    -0.7899771, , 
           -5,    -0.3315828, ,            -5,    -0.4053392, ,            -5,     -0.368529, ,            -5,    -0.2945258, ,            -5,    -0.2573768, ,          -9.5,    -0.7446298, , 
         -4.5,    -0.2852818, ,          -4.5,    -0.3591655, ,          -4.5,    -0.3222863, ,          -4.5,     -0.248177, ,          -4.5,    -0.2109908, ,            -9,    -0.6991531, , 
           -4,    -0.2389279, ,            -4,    -0.3129267, ,            -4,    -0.2759846, ,            -4,    -0.2017814, ,            -4,    -0.1645643, ,          -8.5,    -0.6535544, , 
         -3.5,    -0.1925289, ,          -3.5,    -0.2666306, ,          -3.5,    -0.2296317, ,          -3.5,    -0.1553468, ,          -3.5,     -0.118105, ,            -8,    -0.6078411, , 
           -3,    -0.1460926, ,            -3,     -0.220285, ,            -3,    -0.1832353, ,            -3,    -0.1088812, ,            -3,   -0.07162087, ,          -7.5,    -0.5620209, , 
         -2.5,   -0.09962705, ,          -2.5,    -0.1738978, ,          -2.5,    -0.1368035, ,          -2.5,   -0.06239253, ,          -2.5,   -0.02511985, ,            -7,    -0.5161013, , 
           -2,   -0.05314006, ,            -2,    -0.1274768, ,            -2,   -0.09034404, ,            -2,    -0.0158886, ,            -2,    0.02139016, ,          -6.5,      -0.47009, , 
         -1.5,  -0.006639545, ,          -1.5,   -0.08102994, ,          -1.5,   -0.04386488, ,          -1.5,    0.03062262, ,          -1.5,    0.06790124, ,            -6,    -0.4239947, , 
           -1,    0.03986656, ,            -1,   -0.03456507, ,            -1,   0.002626089, ,            -1,    0.07713322, ,            -1,     0.1144055, ,          -5.5,     -0.377823, , 
         -0.5,    0.08637033, ,          -0.5,    0.01190987, ,          -0.5,    0.04912094, ,          -0.5,     0.1236353, ,          -0.5,     0.1608949, ,            -5,    -0.3315828, , 
            0,     0.1328638, ,             0,    0.05838698, ,             0,    0.09561175, ,             0,     0.1701208, ,             0,     0.2073616, ,          -4.5,    -0.2852818, , 
          0.5,     0.1793392, ,           0.5,     0.1048583, ,           0.5,     0.1420906, ,           0.5,      0.216582, ,           0.5,     0.2537977, ,            -4,    -0.2389279, , 
            1,     0.2257884, ,             1,      0.151316, ,             1,     0.1885496, ,             1,     0.2630108, ,             1,     0.3001954, ,          -3.5,    -0.1925289, , 
          1.5,     0.2722036, ,           1.5,     0.1977522, ,           1.5,     0.2349807, ,           1.5,     0.3093995, ,           1.5,     0.3465466, ,            -3,    -0.1460926, , 
            2,      0.318577, ,             2,     0.2441588, ,             2,     0.2813762, ,             2,       0.35574, ,             2,     0.3928435, ,          -2.5,   -0.09962705, , 
          2.5,     0.3649006, ,           2.5,     0.2905281, ,           2.5,     0.3277282, ,           2.5,     0.4020246, ,           2.5,     0.4390784, ,            -2,   -0.05314006, , 
            3,     0.4111665, ,             3,     0.3368521, ,             3,     0.3740287, ,             3,     0.4482455, ,             3,     0.4852434, ,          -1.5,  -0.006639545, , 
          3.5,      0.457367, ,           3.5,     0.3831231, ,           3.5,     0.4202699, ,           3.5,     0.4943947, ,           3.5,     0.5313307, ,            -1,    0.03986656, , 
            4,     0.5034943, ,             4,     0.4293332, ,             4,      0.466444, ,             4,     0.5404646, ,             4,     0.5773325, ,          -0.5,    0.08637033, , 
          4.5,     0.5495405, ,           4.5,     0.4754745, ,           4.5,     0.5125432, ,           4.5,     0.5864474, ,           4.5,     0.6232412, ,             0,     0.1328638, , 
            5,      0.595498, ,             5,     0.5215393, ,             5,     0.5585598, ,             5,     0.6323353, ,             5,     0.6690491, ,           0.5,     0.1793392, , 
          5.5,     0.6413591, ,           5.5,     0.5675199, ,           5.5,     0.6044861, ,           5.5,     0.6781209, ,           5.5,     0.7147486, ,             1,     0.2257884, , 
            6,     0.6871161, ,             6,     0.6134085, ,             6,     0.6503143, ,             6,     0.7237963, ,             6,      0.760332, ,           1.5,     0.2722036, , 
          6.5,     0.7327614, ,           6.5,     0.6591976, ,           6.5,     0.6960368, ,           6.5,     0.7693541, ,           6.5,     0.8057919, ,             2,      0.318577, , 
            7,     0.7782875, ,             7,     0.7048794, ,             7,     0.7416461, ,             7,     0.8147867, ,             7,     0.8511208, ,           2.5,     0.3649006, , 
          7.5,     0.8236868, ,           7.5,     0.7504464, ,           7.5,     0.7871345, ,           7.5,     0.8600867, ,           7.5,     0.8963112, ,             3,     0.4111665, , 
            8,     0.8689519, ,             8,     0.7958911, ,             8,     0.8324947, ,             8,     0.9052466, ,             8,     0.9413559, ,           3.5,      0.457367, , 
          8.5,     0.9140754, ,           8.5,      0.841206, ,           8.5,     0.8777191, ,           8.5,     0.9502592, ,           8.5,     0.9862474, ,             4,     0.5034943, , 
            9,       0.95905, ,             9,     0.8863837, ,             9,     0.9228005, ,             9,     0.9951171, ,             9,      1.030979, ,           4.5,     0.5495405, , 
          9.5,      1.003868, ,           9.5,     0.9314168, ,           9.5,     0.9677315, ,           9.5,      1.039813, ,           9.5,      1.075543, ,             5,      0.595498, , 
           10,      1.048524, ,            10,     0.9762982, ,            10,      1.012505, ,            10,       1.08434, ,            10,      1.119932, ,           5.5,     0.6413591, , 
         10.5,      1.093008, ,          10.5,       1.02102, ,          10.5,      1.057113, ,          10.5,      1.128691, ,          10.5,       1.16414, ,             6,     0.6871161, , 
           11,      1.137315, ,            11,      1.065576, ,            11,       1.10155, ,            11,      1.172859, ,            11,      1.208159, ,           6.5,     0.7327614, , 
         11.5,      1.181438, ,          11.5,      1.109959, ,          11.5,      1.145808, ,          11.5,      1.216837, ,          11.5,      1.251983, ,             7,     0.7782875, , 
           12,      1.225369, ,            12,      1.154162, ,            12,      1.189879, ,            12,      1.260619, ,            12,      1.295605, ,           7.5,     0.8236868, , 
         12.5,      1.269102, ,          12.5,      1.198177, ,          12.5,      1.233758, ,          12.5,      1.304196, ,          12.5,      1.339018, ,             8,     0.8689519, , 
           13,       1.31263, ,            13,      1.241998, ,            13,      1.277438, ,            13,      1.347564, ,            13,      1.382216, ,           8.5,     0.9140754, , 
         13.5,      1.355947, ,          13.5,      1.285619, ,          13.5,      1.320911, ,          13.5,      1.390715, ,          13.5,      1.425193, ,             9,       0.95905, , 
           14,      1.399046, ,            14,      1.329032, ,            14,      1.364172, ,            14,      1.433643, ,            14,      1.467941, ,           9.5,      1.003868, , 
         14.5,       1.44192, ,          14.5,      1.372231, ,          14.5,      1.407213, ,          14.5,      1.476341, ,          14.5,      1.510454, ,            10,      1.048524, , 
           15,      1.484563, ,            15,      1.415209, ,            15,      1.450029, ,            15,      1.518804, ,            15,      1.552728, ,          10.5,      1.093008, , 
         15.5,      1.526969, ,          15.5,      1.457961, ,          15.5,      1.492612, ,          15.5,      1.561024, ,          15.5,      1.594754, ,            11,      1.137315, , 
           16,      1.569132, ,            16,      1.500479, ,            16,      1.534957, ,            16,      1.602997, ,            16,      1.636528, ,          11.5,      1.181438, , 
         16.5,      1.611046, ,          16.5,      1.542758, ,          16.5,      1.577058, ,          16.5,      1.644715, ,          16.5,      1.678043, ,            12,      1.225369, , 
           17,      1.652705, ,            17,      1.584792, ,            17,      1.618909, ,            17,      1.686174, ,            17,      1.719294, ,          12.5,      1.269102, , 
, , , , , , , , , , , , , , ,            13,       1.31263, , 
, , , , , , , , , , , , , , ,          13.5,      1.355947, , 
, , , , , , , , , , , , , , ,            14,      1.399046, , 
, , , , , , , , , , , , , , ,          14.5,       1.44192, , 
, , , , , , , , , , , , , , ,            15,      1.484563, , 
, , , , , , , , , , , , , , ,          15.5,      1.526969, , 
, , , , , , , , , , , , , , ,            16,      1.569132, , 
, , , , , , , , , , , , , , ,          16.5,      1.611046, , 
, , , , , , , , , , , , , , ,            17,      1.652705, , 

